Gene	sgRNA	eff
DNMT3L	DNMT3L_g64	1
DNMT3L	DNMT3L_g65	1
DNMT3L	DNMT3L_g66	1
KMT2A	KMT2A_g67	1
KMT2A	KMT2A_g68	1
KMT2A	KMT2A_g69	1
KMT2A	KMT2A_g70	1
KMT2A	KMT2A_g71	1
KMT2A	KMT2A_g72	1
KMT2B	KMT2B_g73	1
KMT2B	KMT2B_g74	1
KMT2B	KMT2B_g75	1
KMT2B	KMT2B_g76	1
KMT2B	KMT2B_g77	1
KMT2B	KMT2B_g78	1
KMT2C	KMT2C_g79	1
KMT2C	KMT2C_g80	1
KMT2C	KMT2C_g81	1
KMT2C	KMT2C_g82	1
KMT2C	KMT2C_g83	1
KMT2C	KMT2C_g84	1
KMT2D	KMT2D_g85	1
KMT2D	KMT2D_g86	1
KMT2D	KMT2D_g87	1
KMT2D	KMT2D_g88	1
KMT2D	KMT2D_g89	1
KMT2D	KMT2D_g90	1
KMT2E	KMT2E_g91	1
KMT2E	KMT2E_g92	1
KMT2E	KMT2E_g93	1
KMT2E	KMT2E_g94	1
KMT2E	KMT2E_g95	1
KMT2E	KMT2E_g96	1
BCL6	BCL6_g1	1
BCL6	BCL6_g2	1
BCL6	BCL6_g3	1
BCL6	BCL6_g4	1
BCL6	BCL6_g5	1
BCL6	BCL6_g6	1
EZH1	EZH1_g7	1
EZH1	EZH1_g8	1
EZH1	EZH1_g9	1
EZH1	EZH1_g10	1
EZH1	EZH1_g11	1
EZH1	EZH1_g12	1
EZH2	EZH2_g13	1
EZH2	EZH2_g14	1
EZH2	EZH2_g15	1
EZH2	EZH2_g16	1
EZH2	EZH2_g17	1
EZH2	EZH2_g18	1
JARID2	JARID2_g19	1
JARID2	JARID2_g20	1
JARID2	JARID2_g21	1
JARID2	JARID2_g22	1
JARID2	JARID2_g23	1
JARID2	JARID2_g24	1
DOT1L	DOT1L_g25	1
DOT1L	DOT1L_g26	1
DOT1L	DOT1L_g27	1
DOT1L	DOT1L_g28	1
DOT1L	DOT1L_g29	1
DOT1L	DOT1L_g30	1
EED	EED_g31	1
EED	EED_g32	1
EED	EED_g33	1
EED	EED_g34	1
EED	EED_g35	1
EED	EED_g36	1
SUZ12	SUZ12_g37	1
SUZ12	SUZ12_g38	1
SUZ12	SUZ12_g39	1
SUZ12	SUZ12_g40	1
SUZ12	SUZ12_g41	1
SUZ12	SUZ12_g42	1
AEBP1	AEBP1_g43	1
AEBP1	AEBP1_g44	1
AEBP1	AEBP1_g45	1
AEBP1	AEBP1_g46	1
AEBP1	AEBP1_g47	1
AEBP1	AEBP1_g48	1
AEBP2	AEBP2_g49	1
AEBP2	AEBP2_g50	1
AEBP2	AEBP2_g51	1
AEBP2	AEBP2_g52	1
AEBP2	AEBP2_g53	1
AEBP2	AEBP2_g54	1
RBBP4	RBBP4_g55	1
RBBP4	RBBP4_g56	1
RBBP4	RBBP4_g57	1
RBBP4	RBBP4_g58	1
RBBP4	RBBP4_g59	1
RBBP4	RBBP4_g60	1
PHF1	PHF1_g61	1
PHF1	PHF1_g62	1
PHF1	PHF1_g63	1
PHF1	PHF1_g64	1
PHF1	PHF1_g65	1
PHF1	PHF1_g66	1
EP300	EP300_g67	1
EP300	EP300_g68	1
