sgRNA	Gene	L6_F1	L6_F2	L6_F3	L6_F4
SIRT6_g98	SIRT6	1.3818793982093112	1.2593570194257975	1.4555599818430942	1.9475534025688552
SIRT6_g99	SIRT6	1.107870949115601	1.2601099361774586	1.1771249680776323	1.582280788863667
SIRT6_g100	SIRT6	1.0441153381552963	1.2989855816553353	1.4314832989839545	2.0065451653211817
SIRT6_g101	SIRT6	1.1992547716909598	1.3298121696160778	1.2538611296075095	1.5833482733801043
SIRT6_g102	SIRT6	1.016872862036684	1.3371259899714012	1.5168891624287997	1.5282498449178465
SIRT7_g103	SIRT7	1.3253868716836157	1.3694660435007724	1.3473251315965118	1.8363817068745287
SIRT7_g104	SIRT7	0.8847882572081781	1.2237431522860127	1.2259078894535684	1.8910265758865497
SIRT7_g105	SIRT7	0.6905505418762905	0.7316980132229062	1.0017289755743295	1.1625251423623209
SIRT7_g106	SIRT7	1.069325026483327	1.047363291322871	1.3802583853247299	2.0058721692560457
SIRT7_g107	SIRT7	0.8776647997300079	0.9945787784167426	1.2090652162081192	1.485999506465857
SIRT7_g108	SIRT7	1.069710887594756	1.312094398923043	1.2828747667072495	1.420928303859157
SMARCA1_g1	SMARCA1	1.0673455403393852	1.3024570468344536	1.3264539560130466	1.632376191726041
SMARCA1_g2	SMARCA1	0.8564601058201958	1.1019593178984404	1.20775376405856	1.5149252078557305
SMARCA1_g3	SMARCA1	0.9722207511369355	1.2279875749032456	1.0928887673295165	1.5140325597102706
SMARCA1_g4	SMARCA1	0.9102976067732709	0.967077110799266	1.1669528466535155	1.4963361568804487
SMARCA1_g5	SMARCA1	0.4722524547232842	0.4651965233572446	0.44326287514845997	0.5844737149817885
SMARCA1_g6	SMARCA1	0.6450400192463909	0.6938227342227165	0.5431947289099968	0.9267974370839024
SMARCA2_g7	SMARCA2	0.9256876368637953	0.7083935210199254	0.9682330680746285	0.98751200181215
SMARCA2_g8	SMARCA2	0.506835931384813	0.6307261061209475	0.7414243229454393	0.847920055359772
SMARCA2_g9	SMARCA2	1.0186078274525812	1.1683690643620823	1.1823229385699008	0.9631857239831155
SMARCA2_g10	SMARCA2	0.5037687103163355	0.9800777408059513	0.9376746491408151	1.2890853158005438
SMARCA2_g11	SMARCA2	0.9779276813093454	0.7809238120433699	1.1050452979757515	1.2627464935709776
SMARCA2_g12	SMARCA2	0.9939404568084391	1.0961550827042765	1.227173239234503	1.6370418409088074
SMARCA4_g13	SMARCA4	1.7403802088673008	1.6536315133200157	1.5565882586208748	1.1551276843822709
SMARCA4_g14	SMARCA4	1.0746175692969007	1.3770123333861286	1.1249026860216857	1.3964776730354302
SMARCA4_g15	SMARCA4	1.0787657568517972	1.3703987643624835	1.1838633375385526	1.6521075066372901
SMARCA4_g16	SMARCA4	1.0317642504697841	1.3571385336569413	1.1108651735897328	1.5199161411754847
SMARCA4_g17	SMARCA4	1.1453011849557828	1.0738435215842974	1.119880074597892	1.815038817334142
SMARCA4_g18	SMARCA4	0.7402310137129068	0.4830759269398079	0.6712391148697961	1.2999169809937987
SMARCA5_g19	SMARCA5	0.8237553058065181	0.8893137452658155	0.8269979224642107	0.759826986290079
SMARCA5_g20	SMARCA5	0.697213866600156	1.0562102045207211	1.4999107878115734	1.2985792548290636
